t,price,spread,volume,operation_size,true_effect,return
0,1.0000040150000582,0.0001,11576.46725740039,0.0,0.0,0.0
1,0.9999903120062829,0.0001,18774.65604162656,0.0,0.0,-1.3702993775344119e-05
2,1.0000002000689976,0.0001,28207.228168486232,0.0,0.0,9.888062714735746e-06
3,1.0000125930972918,0.0001,22466.51132710857,0.0,0.0,1.239302829425526e-05
4,0.9999868859514948,0.0001,26621.825080390587,0.0,0.0,-2.5707145797082553e-05
5,0.9999697282299778,0.0001,16420.600724107117,0.0,0.0,-1.7157721517002678e-05
6,0.9999714126751902,0.0001,29067.733935810105,0.0,0.0,1.6844452124242792e-06
7,0.9999672458131695,0.0001,18047.6186244523,0.0,0.0,-4.166862020649198e-06
8,0.9999670244384818,0.0001,78675.16582818529,0.0,0.0,-2.213746876922329e-07
9,0.9999557845978347,0.0001,11387.52822041639,0.0,0.0,-1.1239840647103705e-05
10,0.9999673716835444,0.0001,84878.4455588607,0.0,0.0,1.1587085709696687e-05
11,0.9999776199921346,0.0001,13690.067900901517,0.0,0.0,1.0248308590199429e-05
12,0.9999784900229671,0.0001,41589.886773048886,0.0,0.0,8.700308324893768e-07
13,0.9999933427299939,0.0001,33313.57870794671,0.0,0.0,1.4852707026724588e-05
14,0.9999995027064477,0.0001,13977.684997125638,0.0,0.0,6.159976453812277e-06
15,0.9999881805341189,0.0001,29724.762601032508,0.0,0.0,-1.1322172328798175e-05
16,0.9999930392523133,0.0001,17190.2068240133,0.0,0.0,4.858718194444833e-06
17,0.9999804048646994,0.0001,25271.303696883984,0.0,0.0,-1.2634387613896791e-05
18,0.9999919794637135,0.0001,23716.67453346825,0.0,0.0,1.1574599014130271e-05
19,0.9999913216320762,0.00030000000000000003,18496.652915575552,0.0,0.0,-6.578316373850868e-07
20,0.999988885856566,0.0001,17743.68595106555,0.0,0.0,-2.435775510178928e-06
21,0.9999799138220392,0.0001,26119.467359143502,0.0,0.0,-8.972034526766315e-06
22,0.9999960222185555,0.0001,14017.879151527824,0.0,0.0,1.6108396516334444e-05
23,0.9999939861138515,0.0001,14284.81721980144,0.0,0.0,-2.036104704061792e-06
24,0.9999883423992546,0.0001,35507.104285546506,0.0,0.0,-5.6437145968812885e-06
25,0.9999837026323375,0.0001,27287.748419109725,0.0,0.0,-4.6397669171138745e-06
26,0.9999907164216949,0.0001,11460.554808080582,0.0,0.0,7.013789357412925e-06
27,0.9999955315700315,0.0001,13337.836003304858,0.0,0.0,4.815148336612118e-06
28,1.0000009697996868,0.0001,7568.457612390192,0.0,0.0,5.438229655263527e-06
29,1.0000066463648256,0.0001,34712.14517749926,0.0,0.0,5.676565138834633e-06
30,1.0000348650496764,0.0001,31079.01244239186,0.0,0.0,2.821868485081147e-05
31,1.000029510061647,0.0001,12779.80482197633,0.0,0.0,-5.354988029449004e-06
32,1.000022760671069,0.0001,30479.983351834824,0.0,0.0,-6.749390577986958e-06
33,1.0000120382739066,0.0001,59441.66000606805,0.0,0.0,-1.0722397162377106e-05
34,1.0000201545154364,0.0001,10201.914481710703,0.0,0.0,8.116241529743107e-06
35,1.0000350300315204,0.00030000000000000003,16194.86697616581,0.0,0.0,1.4875516084034146e-05
36,1.0000335286419382,0.0001,10091.050994241703,0.0,0.0,-1.501389582214685e-06
37,1.0000224586083626,0.0001,35393.09215935766,0.0,0.0,-1.1070033575588667e-05
38,1.0000115951144892,0.0001,20993.563633215825,0.0,0.0,-1.086349387335872e-05
39,1.0000201674271507,0.0001,18050.84082487283,0.0,0.0,8.572312661492276e-06
40,1.0000299606607401,0.0001,24679.026384768753,0.0,0.0,9.793233589405759e-06
41,1.0000371173466096,0.0001,16672.78527923157,0.0,0.0,7.1566858694804836e-06
42,1.0000283484862764,0.0001,18019.032751435745,0.0,0.0,-8.768860333185913e-06
43,1.0000314074802992,0.0001,25270.202979952464,0.0,0.0,3.0589940227532253e-06
44,1.0000329449508305,0.0001,16235.591016115846,0.0,0.0,1.5374705313320192e-06
45,1.0000358264260971,0.0001,17422.316959530912,0.0,0.0,2.8814752666139754e-06
46,1.0000473085084176,0.0001,20368.399821194984,0.0,0.0,1.148208232049086e-05
47,1.0000502546384542,0.00030000000000000003,23055.741366264392,0.0,0.0,2.946130036596273e-06
48,1.0000592001100945,0.0001,29757.07425175101,0.0,0.0,8.945471640320335e-06
49,1.0000600905425185,0.0001,29484.3214301652,0.0,0.0,8.904324240166517e-07
50,1.0000639000250835,0.0001,10406.703872006427,0.0,0.0,3.8094825649537256e-06
51,1.0000722179778072,0.0001,44532.54974036222,0.0,0.0,8.317952723713162e-06
52,1.000053018264072,0.0001,22687.251604823094,0.0,0.0,-1.919971373531837e-05
53,1.0000488062259631,0.0001,18660.598378062583,0.0,0.0,-4.212038108741822e-06
54,1.0000426085220604,0.0001,14019.852628738867,0.0,0.0,-6.197703902754981e-06
55,1.000034190567281,0.0001,59550.71324363319,0.0,0.0,-8.417954779460501e-06
56,1.0000305652498043,0.0001,71677.45852457863,0.0,0.0,-3.62531747666317e-06
57,1.0000502628311034,0.0001,55999.06840998539,0.0,0.0,1.969758129916066e-05
58,1.000038854504459,0.0001,23405.06769579502,0.0,0.0,-1.1408326644479772e-05
59,1.0000516126919987,0.0001,26161.72192683482,0.0,0.0,1.27581875397631e-05
60,1.0000294389358164,0.0001,46421.50664054389,0.0,0.0,-2.2173756182297666e-05
61,1.000025026438112,0.0001,19528.389666739808,0.0,0.0,-4.412497704331386e-06
62,1.0000271708980368,0.0001,28872.68549871269,0.0,0.0,2.1444599247466556e-06
63,1.0000348950554632,0.0001,24676.57311197144,0.0,0.0,7.724157426336475e-06
64,1.0000442662884823,0.00030000000000000003,57491.01240510886,0.0,0.0,9.37123301913978e-06
65,1.0000547195561433,0.0001,45168.89179515187,0.0,0.0,1.0453267661025833e-05
66,1.0000501246998703,0.0001,20558.179696844487,0.0,0.0,-4.594856273021364e-06
